"NLA_ID","Comid","MaxDist","PercentImperv_MaxDist","ImpervAreaKm2_MaxDist","PercentNA_MaxDist","WaterKm2_MaxDist","IceSnowKm2_MaxDist","DevOpenKm2_MaxDist","DevLowKm2_MaxDist","DevMedKm2_MaxDist","DevHighKm2_MaxDist","BarrenKm2_MaxDist","DeciduousKm2_MaxDist","EvergreenKm2_MaxDist","MixedForKm2_MaxDist","ShrubKm2_MaxDist","GrassKm2_MaxDist","PastureKm2_MaxDist","CropsKm2_MaxDist","WoodyWetKm2_MaxDist","HerbWetKm2_MaxDist","NLCD_NA_Per_MaxDist","WaterPer_MaxDist","IceSnowPer_MaxDist","DevOpenPer_MaxDist","DevLowPer_MaxDist","DevMedPer_MaxDist","DevHighPer_MaxDist","BarrenPer_MaxDist","DeciduousPer_MaxDist","EvergreenPer_MaxDist","MixedForPer_MaxDist","ShrubPer_MaxDist","GrassPer_MaxDist","PasturePer_MaxDist","CropsPer_MaxDist","WoodyWetPer_MaxDist","HerbWetPer_MaxDist","PercentImperv_300m","ImpervAreaKm2_300m","PercentNA_300m","WaterKm2_300m","IceSnowKm2_300m","DevOpenKm2_300m","DevLowKm2_300m","DevMedKm2_300m","DevHighKm2_300m","BarrenKm2_300m","DeciduousKm2_300m","EvergreenKm2_300m","MixedForKm2_300m","ShrubKm2_300m","GrassKm2_300m","PastureKm2_300m","CropsKm2_300m","WoodyWetKm2_300m","HerbWetKm2_300m","NLCD_NA_Per_300m","WaterPer_300m","IceSnowPer_300m","DevOpenPer_300m","DevLowPer_300m","DevMedPer_300m","DevHighPer_300m","BarrenPer_300m","DeciduousPer_300m","EvergreenPer_300m","MixedForPer_300m","ShrubPer_300m","GrassPer_300m","PasturePer_300m","CropsPer_300m","WoodyWetPer_300m","HerbWetPer_300m","PercentImperv_1500m","ImpervAreaKm2_1500m","PercentNA_1500m","WaterKm2_1500m","IceSnowKm2_1500m","DevOpenKm2_1500m","DevLowKm2_1500m","DevMedKm2_1500m","DevHighKm2_1500m","BarrenKm2_1500m","DeciduousKm2_1500m","EvergreenKm2_1500m","MixedForKm2_1500m","ShrubKm2_1500m","GrassKm2_1500m","PastureKm2_1500m","CropsKm2_1500m","WoodyWetKm2_1500m","HerbWetKm2_1500m","NLCD_NA_Per_1500m","WaterPer_1500m","IceSnowPer_1500m","DevOpenPer_1500m","DevLowPer_1500m","DevMedPer_1500m","DevHighPer_1500m","BarrenPer_1500m","DeciduousPer_1500m","EvergreenPer_1500m","MixedForPer_1500m","ShrubPer_1500m","GrassPer_1500m","PasturePer_1500m","CropsPer_1500m","WoodyWetPer_1500m","HerbWetPer_1500m","PercentImperv_3000m","ImpervAreaKm2_3000m","PercentNA_3000m","WaterKm2_3000m","IceSnowKm2_3000m","DevOpenKm2_3000m","DevLowKm2_3000m","DevMedKm2_3000m","DevHighKm2_3000m","BarrenKm2_3000m","DeciduousKm2_3000m","EvergreenKm2_3000m","MixedForKm2_3000m","ShrubKm2_3000m","GrassKm2_3000m","PastureKm2_3000m","CropsKm2_3000m","WoodyWetKm2_3000m","HerbWetKm2_3000m","NLCD_NA_Per_3000m","WaterPer_3000m","IceSnowPer_3000m","DevOpenPer_3000m","DevLowPer_3000m","DevMedPer_3000m","DevHighPer_3000m","BarrenPer_3000m","DeciduousPer_3000m","EvergreenPer_3000m","MixedForPer_3000m","ShrubPer_3000m","GrassPer_3000m","PasturePer_3000m","CropsPer_3000m","WoodyWetPer_3000m","HerbWetPer_3000m"
"NLA06608-1111",4123850,214,0.61,0.004,0,0.1044,0,0.0648,0,0,0,0,0.0666,0,0,0,0.0873,0.2358,0.0918,0,0,0,16.04,0,9.95,0,0,0,0,10.23,0,0,0,13.41,36.22,14.1,0,0,0.91,0.009,0,0.1539,0,0.1152,0,0,0,0,0.0702,0,0,0,0.1017,0.3933,0.1521,0,0.0045,0,15.53,0,11.62,0,0,0,0,7.08,0,0,0,10.26,39.69,15.35,0,0.45,0.37,0.039,0,0.7362,0,0.6363,0.0108,0,0,0,0.1053,0,0,0,1.4742,2.7243,4.1976,0,0.558,0,7.05,0,6.09,0.1,0,0,0,1.01,0,0,0,14.12,26.09,40.2,0,5.34,0.29,0.1,0,1.0512,0,1.6389,0.0342,0,0,0,0.2979,0,0,0,4.9023,7.803,16.3827,0.0306,2.6172,0,3.02,0,4.72,0.1,0,0,0,0.86,0,0,0,14.1,22.45,47.13,0.09,7.53
"NLA06608-1113",9751274,319,5.85,2.128,0,0.954,0,5.4594,4.5189,0.1674,0.0486,0,10.2798,4.4118,2.1591,0.3789,2.8143,5.0094,0.054,0.1152,0.0198,0,2.62,0,15,12.42,0.46,0.13,0,28.25,12.12,5.93,1.04,7.73,13.77,0.15,0.32,0.05,5.87,2.038,0,0.9414,0,5.1867,4.3407,0.1575,0.0477,0,9.756,4.2516,2.0286,0.3582,2.7324,4.7619,0.054,0.1116,0.0189,0,2.71,0,14.93,12.49,0.45,0.14,0,28.08,12.24,5.84,1.03,7.86,13.7,0.16,0.32,0.05,7.4,8.925,0,1.4355,0,19.2627,16.344,1.9881,0.6588,0.0252,29.5866,10.0953,7.2621,1.7487,6.3432,25.5231,0.0756,0.2556,0.0243,0,1.19,0,15.97,13.55,1.65,0.55,0.02,24.53,8.37,6.02,1.45,5.26,21.16,0.06,0.21,0.02,8.3,18.127,0,2.2374,0,32.4999,32.2164,5.1192,1.6254,0.0558,51.0723,15.2802,11.3913,3.1473,9.8154,53.2809,0.2124,0.4464,0.0243,0,1.02,0,14.88,14.75,2.34,0.74,0.03,23.38,7,5.22,1.44,4.49,24.39,0.1,0.2,0.01
"NLA06608-1114",18121428,107,0,0,0,0.0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3852,0.1143,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,74.65,22.15,0,0,0,0.1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9855,0.2727,0,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,71.99,19.92,0.05,0.006,0,1.854,0,0.0711,0.0045,0,0,0,0,0.0027,0,9e-04,0.0045,0,0,4.7133,4.6818,0,16.36,0,0.63,0.04,0,0,0,0,0.02,0,0.01,0.04,0,0,41.59,41.31,0.98,0.355,0,3.3876,0,2.2482,0.5832,0.036,0,0.0351,0.0216,1.8486,0.0963,0.5427,0.1719,0.0234,0,14.1426,13.1589,0,9.33,0,6.19,1.61,0.1,0,0.1,0.06,5.09,0.27,1.5,0.47,0.06,0,38.96,36.25
"NLA06608-1115",3397690,191,21.03,0.164,0,0.1026,0,0.0288,0.0792,0.1449,0.0531,0,0.1719,0,0.0153,0,0.0027,0,0,0.1818,0,0,13.15,0,3.69,10.15,18.58,6.81,0,22.04,0,1.96,0,0.35,0,0,23.31,0,25.61,0.334,0,0.1161,0,0.0954,0.1746,0.3168,0.0792,0,0.2052,0,0.0153,0,0.0135,0,0,0.288,0,0,8.9,0,7.32,13.39,24.29,6.07,0,15.74,0,1.17,0,1.04,0,0,22.09,0,42.4,5.006,0,0.9036,0,1.107,2.6253,3.9825,1.6317,0.0171,0.2889,0.0081,0.0315,0,0.0819,0.27,0.0576,0.6642,0.1368,0,7.65,0,9.38,22.24,33.73,13.82,0.14,2.45,0.07,0.27,0,0.69,2.29,0.49,5.63,1.16,44,16.431,0,4.1409,0,2.4435,7.4889,12.4362,6.3252,0.2529,0.783,0.0225,0.0432,0.0162,0.2214,1.179,0.0576,1.7055,0.2259,0,11.09,0,6.54,20.05,33.3,16.94,0.68,2.1,0.06,0.12,0.04,0.59,3.16,0.15,4.57,0.6
"NLA06608-1119",1392171,211,0.36,0.004,0,0.5877,0,0.0297,0,0,0,0,0,0.2997,0,0.054,0.0234,0,0,0.1152,0,0,52.95,0,2.68,0,0,0,0,0,27,0,4.86,2.11,0,0,10.38,0,0.48,0.008,0,0.666,0,0.0648,0,0,0,0,0,0.6714,0.0018,0.0693,0.0261,0,0,0.1503,0,0,40.36,0,3.93,0,0,0,0,0,40.69,0.11,4.2,1.58,0,0,9.11,0,0.19,0.026,0,0.7542,0,0.252,0.0108,0,0,0,0.0063,10.35,0.0387,0.7938,0.3177,0,0,1.0269,0,0,5.57,0,1.86,0.08,0,0,0,0.05,76.38,0.29,5.86,2.34,0,0,7.58,0,0.12,0.051,0,0.7542,0,0.5427,0.0387,0,0,0,0.018,34.3179,0.0639,1.9035,1.7955,0,0,1.4778,0,0,1.84,0,1.33,0.09,0,0,0,0.04,83.88,0.16,4.65,4.39,0,0,3.61,0
"NLA06608-1120",7666880,389,0.63,0.089,0,0.7434,0,0.8649,0.0576,0.0333,0,0.1485,9.7983,0.045,0.6813,0.3393,0.4815,0.0567,0,0.1242,0.7056,0,5.28,0,6.14,0.41,0.24,0,1.05,69.59,0.32,4.84,2.41,3.42,0.4,0,0.88,5.01,0.67,0.073,0,0.7164,0,0.6633,0.0468,0.0333,0,0.1296,7.2936,0.027,0.5553,0.2565,0.4005,0.0486,0,0.1143,0.5994,0,6.58,0,6.09,0.43,0.31,0,1.19,67.01,0.25,5.1,2.36,3.68,0.45,0,1.05,5.51,0.32,0.163,0,1.4823,0,2.1627,0.0936,0.0333,0,0.2358,40.4361,0.4608,1.575,1.0692,1.4022,0.315,0,0.2475,1.0764,0,2.93,0,4.27,0.19,0.07,0,0.47,79.93,0.91,3.11,2.11,2.77,0.62,0,0.49,2.13,0.24,0.242,0,1.962,0,3.5901,0.1179,0.0333,0,0.3906,85.077,0.9558,2.619,1.6614,3.1149,1.5822,0,0.6615,1.1952,0,1.91,0,3.49,0.11,0.03,0,0.38,82.63,0.93,2.54,1.61,3.03,1.54,0,0.64,1.16
"NLA06608-1122",6114700,85,0.87,0.001,0,0.018,0,0.0099,0,0,0,0,0.0378,0.0252,0,0,0,0,0,0.0234,9e-04,0,15.65,0,8.61,0,0,0,0,32.87,21.91,0,0,0,0,0,20.35,0.78,2.15,0.013,0,0.018,0,0.0684,0,0.0108,0,0,0.4158,0.0279,0,0,0,0.0027,0,0.0612,9e-04,0,2.97,0,11.29,0,1.78,0,0,68.61,4.6,0,0,0,0.45,0,10.1,0.15,3.38,0.29,0,0.7767,0,1.0935,0.1512,0.1791,0.0639,0.027,4.4289,0.3321,0.0387,0.0576,0.0153,0.72,0.0837,0.5895,0.0171,0,9.06,0,12.75,1.76,2.09,0.75,0.31,51.66,3.87,0.45,0.67,0.18,8.4,0.98,6.88,0.2,7.69,2.389,0,1.5678,0,4.2174,1.8234,1.6137,0.5391,0.0486,15.3927,0.8829,0.2979,0.117,0.054,1.5219,0.0837,2.5929,0.3096,0,5.05,0,13.58,5.87,5.19,1.74,0.16,49.55,2.84,0.96,0.38,0.17,4.9,0.27,8.35,1
"NLA06608-1124",20064415,436,0.29,0.008,0,0.2898,0,0,0,0,0,0,0,0.0081,0,0.1773,2.0664,0,0,0.099,0.0711,0,10.69,0,0,0,0,0,0,0,0.3,0,6.54,76.19,0,0,3.65,2.62,0.46,0.008,0,0.2898,0,0,0,0,0,0,0,0.0054,0,0.1359,1.1475,0,0,0.0963,0.0711,0,16.6,0,0,0,0,0,0,0,0.31,0,7.78,65.72,0,0,5.52,4.07,0.09,0.012,0,0.6795,0,0,0,0,0,0,0,0.0081,0,0.2727,12.5451,0,0.2916,0.099,0.1737,0,4.83,0,0,0,0,0,0,0,0.06,0,1.94,89.16,0,2.07,0.7,1.23,0.05,0.021,0,2.1528,0,0,0,0,0,0,0,0.0261,0,1.1763,35.5563,0,2.0421,0.1386,0.8316,0,5.14,0,0,0,0,0,0,0,0.06,0,2.81,84.81,0,4.87,0.33,1.98
"NLA06608-1125",7711100,272,0.07,0.001,0,0.0765,0,0.0261,0,0,0,0,0.7677,0.2691,0.0486,0.0162,0,0.117,0,0.0594,0.0207,0,5.46,0,1.86,0,0,0,0,54.8,19.21,3.47,1.16,0,8.35,0,4.24,1.48,0.13,0.002,0,0.0783,0,0.0351,0,0,0,0,0.8424,0.3015,0.0495,0.0162,0,0.1476,0,0.0774,0.0225,0,4.99,0,2.24,0,0,0,0,53.66,19.2,3.15,1.03,0,9.4,0,4.93,1.43,1.76,0.234,0,1.1412,0,0.9243,0.27,0.0981,0.0207,0.0162,3.4488,1.3968,0.1179,0.2583,0.1557,4.3857,0.2601,0.7137,0.0864,0,8.58,0,6.95,2.03,0.74,0.16,0.12,25.94,10.51,0.89,1.94,1.17,32.99,1.96,5.37,0.65,1.49,0.602,0,2.0385,0,2.7747,0.7065,0.2295,0.0288,0.027,14.8059,3.7872,0.6903,0.6201,0.2295,10.2708,1.5831,2.1132,0.5175,0,5.04,0,6.86,1.75,0.57,0.07,0.07,36.63,9.37,1.71,1.53,0.57,25.41,3.92,5.23,1.28
"NLA06608-1129",21745307,120,0.16,0.004,0,0.0099,0,0.0072,0,0,0,0.0225,0,2.4372,0,0.0729,0.0207,0,0,0,0,0,0.39,0,0.28,0,0,0,0.88,0,94.83,0,2.84,0.81,0,0,0,0,0.09,0.005,0,0.0099,0,0.0072,0,0,0,0.0261,0,5.6277,0,0.108,0.0261,0,0,0,0,0,0.17,0,0.12,0,0,0,0.45,0,96.95,0,1.86,0.45,0,0,0,0,0.05,0.014,0,0.0099,0,0.0072,0,0,0,0.0261,0,26.4708,0,0.1512,0.1008,0,0,0,0,0,0.04,0,0.03,0,0,0,0.1,0,98.9,0,0.56,0.38,0,0,0,0,0.09,0.058,0,0.0099,0,0.0225,0,0,0,0.0261,0,62.7057,0,0.2151,0.3942,0,0,0,0,0,0.02,0,0.04,0,0,0,0.04,0,98.95,0,0.34,0.62,0,0,0,0
