"site","comid","cfs","n_total","n_sewer","n_corn_soy_alf_fert","n_tin","n_manure","n_develop","n_other_fert","n_total_inc","n_sewer_inc","n_corn_soy_alf_fert_inc","n_tin_inc","n_manure_inc","n_develop_inc","n_other_fert_inc"
"Royal River",6722249,275.88675,98228.1199980678,0,5454.122457524,30218.1992761604,7081.3469306611,43992.5471604449,11481.9041732773,4717.12511214283,0,21.5344754342112,524.690198615642,34.2656776500155,4076.64821015145,59.9865502915158
"Capisic Brook",6721495,3.8242,6299.37437638949,0,5.24654380065148,460.237690784482,10.3109455686237,5808.96439567948,14.6148005562481,6420.72559297259,0,5.34761327755888,469.103714671461,10.5095757363376,5920.86834905392,14.8963402333099
"Presumpscot River",6721459,1136.70643,451438.690076291,79995.6780145335,14074.9222393692,136199.985868739,13572.5601934899,180752.891205092,26842.6525550677,86769.9684985192,79995.6780145335,10.6308663817527,517.064394538871,19.1244979847583,6197.85732665788,29.6133984224329
